sku,marca,modelo,archivo,tipo,confianza
311002920,CAPSA,U1R 600,images/capsa/311002920.png,Existente (ya en IMAGEN BATERIA),Alta
311002925,CAPSA,U1R 500,images/capsa/311002925.png,Existente (ya en IMAGEN BATERIA),Alta
311002980,CAPSA,4D 1800,images/capsa/311002980.png,Existente (ya en IMAGEN BATERIA),Alta
311002982,CAPSA,4D 2000,images/capsa/311002982.png,Existente (ya en IMAGEN BATERIA),Alta
311002984,CAPSA,4DI 2000,images/capsa/311002984.png,Existente (ya en IMAGEN BATERIA),Alta
311002987,CAPSA,4DLTI 1900,images/capsa/311002987.png,Existente (ya en IMAGEN BATERIA),Alta
311002990,CAPSA,8DI 2600,images/capsa/311002990.png,Existente (ya en IMAGEN BATERIA),Alta
311002991,CAPSA,8D 2600,images/capsa/311002991.png,Existente (ya en IMAGEN BATERIA),Alta
311004922,CAPSA,NS40L HD 670,images/capsa/311004922.png,Existente (ya en IMAGEN BATERIA),Alta
311005611,CAPSA,U1R 450,images/capsa/311005611.png,Existente (ya en IMAGEN BATERIA),Alta
311005633,CAPSA,24R 950,images/capsa/311005633.png,Existente (ya en IMAGEN BATERIA),Alta
311005634,CAPSA,24 950,images/capsa/311005634.png,Existente (ya en IMAGEN BATERIA),Alta
311005637,CAPSA,27R 1000,images/capsa/311005637.png,Existente (ya en IMAGEN BATERIA),Alta
311005638,CAPSA,27 1000,images/capsa/311005638.png,Existente (ya en IMAGEN BATERIA),Alta
311005639,CAPSA,27R 1150,images/capsa/311005639.png,Existente (ya en IMAGEN BATERIA),Alta
311005640,CAPSA,27 1150,images/capsa/311005640.png,Existente (ya en IMAGEN BATERIA),Alta
311005642,CAPSA,35 1100,images/capsa/311005642.png,Existente (ya en IMAGEN BATERIA),Alta
311005643,CAPSA,42I 700,images/capsa/311005643.png,Existente (ya en IMAGEN BATERIA),Alta
311005644,CAPSA,42I 800,images/capsa/311005644.png,Existente (ya en IMAGEN BATERIA),Alta
311005645,CAPSA,42 800,images/capsa/311005645.png,Existente (ya en IMAGEN BATERIA),Alta
311005646,CAPSA,42I 900,images/capsa/311005646.png,Existente (ya en IMAGEN BATERIA),Alta
311005647,CAPSA,42 900,images/capsa/311005647.png,Existente (ya en IMAGEN BATERIA),Alta
311005648,CAPSA,48I 1000,images/capsa/311005648.png,Existente (ya en IMAGEN BATERIA),Alta
311005649,CAPSA,48 1000,images/capsa/311005649.png,Existente (ya en IMAGEN BATERIA),Alta
311005651,CAPSA,24 800,images/capsa/311005651.png,Existente (ya en IMAGEN BATERIA),Alta
311005652,CAPSA,24R 800,images/capsa/311005652.png,Existente (ya en IMAGEN BATERIA),Alta
311005653,CAPSA,36I 750,images/capsa/311005653.png,Existente (ya en IMAGEN BATERIA),Alta
311005655,CAPSA,NS60LS 700,images/capsa/311005655.png,Existente (ya en IMAGEN BATERIA),Alta
311005656,CAPSA,NS60L 700,images/capsa/311005656.png,Existente (ya en IMAGEN BATERIA),Alta
311005657,CAPSA,NS60LS 770,images/capsa/311005657.png,Existente (ya en IMAGEN BATERIA),Alta
311005658,CAPSA,NS60L 770,images/capsa/311005658.png,Existente (ya en IMAGEN BATERIA),Alta
311005659,CAPSA,NS40L 670,images/capsa/311005659.png,Existente (ya en IMAGEN BATERIA),Alta
311005722,CAPSA,30H 1600,images/capsa/311005722.png,Existente (ya en IMAGEN BATERIA),Alta
311005723,CAPSA,31T 1600,images/capsa/311005723.png,Existente (ya en IMAGEN BATERIA),Alta
311005788,CAPSA,65 1100,images/capsa/311005788.png,Existente (ya en IMAGEN BATERIA),Alta
311005876,CAPSA,36I 650,images/capsa/311005876.png,Extraída del PDF multimarca (nueva),Alta
311006055,CAPSA,24R 1100,images/capsa/311006055.png,Reutilizada de familia (nueva),Alta
311006056,CAPSA,24 1100,images/capsa/311006056.png,Reutilizada de familia (nueva),Alta
321000728,LTH,L-42-550,images/lth/321000728.png,Extraída del PDF multimarca (nueva),Alta
321000729,LTH,L-99-400,images/lth/321000729.png,Existente (ya en IMAGEN BATERIA),Alta
321000730,LTH,L-51R-500,images/lth/321000730.png,Existente (ya en IMAGEN BATERIA),Alta
321000731,LTH,L-48/91-615,images/lth/321000731.png,Extraída del PDF multimarca (nueva),Alta
321000732,LTH,L-35-575,images/lth/321000732.png,Existente (ya en IMAGEN BATERIA),Alta
321000733,LTH,L-24R-530,images/lth/321000733.png,Existente (ya en IMAGEN BATERIA),Alta
321000734,LTH,L-27-750,images/lth/321000734.png,Extraída del PDF multimarca (nueva),Alta
321000735,LTH,L-27F-750,images/lth/321000735.png,Extraída del PDF multimarca (nueva),Alta
321000736,LTH,L-NS40L-340,images/lth/321000736.png,Existente (ya en IMAGEN BATERIA),Alta
321000737,LTH,H-24-600,images/lth/321000737.png,Existente (ya en IMAGEN BATERIA),Alta
321000738,LTH,H-24R-600,images/lth/321000738.png,Existente (ya en IMAGEN BATERIA),Alta
321000739,LTH,H-27-810,images/lth/321000739.png,Existente (ya en IMAGEN BATERIA),Alta
321000740,LTH,H-27F-810,images/lth/321000740.png,Existente (ya en IMAGEN BATERIA),Alta
321000741,LTH,H-99-470,images/lth/321000741.png,Existente (ya en IMAGEN BATERIA),Alta
321000742,LTH,H-48/91-730,images/lth/321000742.png,Existente (ya en IMAGEN BATERIA),Alta
321000743,LTH,H-49-850,images/lth/321000743.png,Existente (ya en IMAGEN BATERIA),Alta
321000749,LTH,L-35-650 AGM -35,images/lth/321000749.png,Extraída del PDF multimarca (nueva),Alta
321000750,LTH,L-48/91-760 AGM -LN3,images/lth/321000750.png,Extraída del PDF multimarca (nueva),Alta
321000751,LTH,L-49-900 AGM -LN5,images/lth/321000751.png,Extraída del PDF multimarca (nueva),Alta
321000752,LTH,L-94R-850 AGM -LN4,images/lth/321000752.png,Extraída del PDF multimarca (nueva),Alta
321000753,LTH,L-47-660 AGM -LN2,images/lth/321000753.png,Extraída del PDF multimarca (nueva),Alta
310800001,MOTORACING,12N7B-3AFA,images/motoracing/310800001.png,Extraída del PDF multimarca (nueva),Alta
310800005,MOTORACING,12N5-3BFA,images/motoracing/310800005.png,Extraída del PDF multimarca (nueva),Alta
310800009,MOTORACING,12N9-4BFA,images/motoracing/310800009.png,Extraída del PDF multimarca (nueva),Alta
310800010,MOTORACING,12N7-3BFA,images/motoracing/310800010.png,Extraída del PDF — PENDIENTE VALIDACIÓN,Baja — no usar sin validar
310800011,MOTORACING,YTX7A-FA,images/motoracing/310800011.png,Extraída del PDF multimarca (nueva),Alta
310800013,MOTORACING,YTX7L-FA,images/motoracing/310800013.png,Extraída del PDF multimarca (nueva),Alta
310800014,MOTORACING,YTX5L-FA,images/motoracing/310800014.png,Extraída del PDF multimarca (nueva),Alta
310800016,MOTORACING,YTX4L-FA,images/motoracing/310800016.png,Extraída del PDF multimarca (nueva),Alta
310800018,MOTORACING,YTX9-FA,images/motoracing/310800018.png,Extraída del PDF multimarca (nueva),Alta
310800025,MOTORACING,12N6.5L,images/motoracing/310800025.png,Extraída del PDF multimarca (nueva),Alta
321000304,OPTIMA,D31M,images/optima/321000304.png,Existente (ya en IMAGEN BATERIA),Alta
321000305,OPTIMA,D31A,images/optima/321000305.png,Existente (ya en IMAGEN BATERIA),Alta
321000306,OPTIMA,D34/78,images/optima/321000306.png,Existente (ya en IMAGEN BATERIA),Alta
321000307,OPTIMA,34R,images/optima/321000307.png,Existente (ya en IMAGEN BATERIA),Alta
321000308,OPTIMA,D51R,images/optima/321000308.png,Existente (ya en IMAGEN BATERIA),Alta
311004751,SILVER CAST,42I SC 600,images/silvercast/311004751.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311004752,SILVER CAST,NS40L HD SC 540,images/silvercast/311004752.png,Extraída del PDF — PENDIENTE VALIDACIÓN,Baja — no usar sin validar
311004927,SILVER CAST,NS60L SC 650,images/silvercast/311004927.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311004928,SILVER CAST,NS60LS SC 650,images/silvercast/311004928.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311005613,SILVER CAST,27R SC 820,images/silvercast/311005613.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311006045,SILVER CAST,NS40LSC 540,images/silvercast/311006045.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311006057,SILVER CAST,24R SC 800,images/silvercast/311006057.png,Extraída de fichas técnicas SILVERCAST (nueva),Alta
311000474,VARTA,49ST V4 1250,images/varta/311000474.png,Existente (ya en IMAGEN BATERIA),Alta
311002861,VARTA,4D V4 1550,images/varta/311002861.png,Existente (ya en IMAGEN BATERIA),Alta
311002862,VARTA,4DI V4 1550,images/varta/311002862.png,Existente (ya en IMAGEN BATERIA),Alta
311002863,VARTA,4D V4 1600,images/varta/311002863.png,Existente (ya en IMAGEN BATERIA),Alta
311002864,VARTA,4DI V4 1600,images/varta/311002864.png,Existente (ya en IMAGEN BATERIA),Alta
311002865,VARTA,4DLT V4 1500,images/varta/311002865.png,Existente (ya en IMAGEN BATERIA),Alta
311002866,VARTA,4DLTI V4 1500,images/varta/311002866.png,Existente (ya en IMAGEN BATERIA),Alta
311002867,VARTA,8D V4 2650,images/varta/311002867.png,Existente (ya en IMAGEN BATERIA),Alta
311002868,VARTA,8DI V4 2650,images/varta/311002868.png,Existente (ya en IMAGEN BATERIA),Alta
311003692,VARTA,NS60ZLS V4 730,images/varta/311003692.png,Existente (ya en IMAGEN BATERIA),Alta
311003694,VARTA,NS60ZZLS V5 790,images/varta/311003694.png,Reutilizada de familia (nueva),Alta
311004873,VARTA,24R V5 1200,images/varta/311004873.png,Extraída del PDF multimarca (nueva),Alta
311004879,VARTA,27R V5 1300,images/varta/311004879.png,Existente (ya en IMAGEN BATERIA),Alta
311005847,VARTA,36IST V4 780,images/varta/311005847.png,Existente (ya en IMAGEN BATERIA),Alta
311005849,VARTA,35 V4 850,images/varta/311005849.png,Existente (ya en IMAGEN BATERIA),Alta
311005850,VARTA,42IST V4 870,images/varta/311005850.png,Existente (ya en IMAGEN BATERIA),Alta
311005851,VARTA,48IST V4 970,images/varta/311005851.png,Existente (ya en IMAGEN BATERIA),Alta
311005852,VARTA,L1ST V4 750,images/varta/311005852.png,Extraída del PDF multimarca (nueva),Alta
311005854,VARTA,24R V4 950,images/varta/311005854.png,Existente (ya en IMAGEN BATERIA),Alta
311005855,VARTA,27R V4 1200,images/varta/311005855.png,Extraída del PDF multimarca (nueva),Alta
311005856,VARTA,31T V4 1900,images/varta/311005856.png,Existente (ya en IMAGEN BATERIA),Alta
311005858,VARTA,48IST V5 1150,images/varta/311005858.png,Existente (ya en IMAGEN BATERIA),Alta
311005859,VARTA,42IST V5 950,images/varta/311005859.png,Extraída del PDF multimarca (nueva),Alta
311005860,VARTA,NS60ZZL V5 790,images/varta/311005860.png,Existente (ya en IMAGEN BATERIA),Alta
311005863,VARTA,NS40ZL V4 HD 680,images/varta/311005863.png,Extraída del PDF multimarca (nueva),Alta
311006044,VARTA,NS40ZL V4 680,images/varta/311006044.png,Existente (ya en IMAGEN BATERIA),Alta
321000662,VARTA,LN3 AGM,images/varta/321000662.png,Existente (ya en IMAGEN BATERIA),Alta
321000664,VARTA,LN5 AGM,images/varta/321000664.png,Existente (ya en IMAGEN BATERIA),Alta
321000666,VARTA,LN4 AGM,images/varta/321000666.png,Existente (ya en IMAGEN BATERIA),Alta
321000668,VARTA,LN2 AGM,images/varta/321000668.png,Existente (ya en IMAGEN BATERIA),Alta
